trial,best_val_CRPS_log,best_epoch,ckpt_path,val_Brier_flash,val_Brier_peak,val_Brier_acc,k_nn,T_in,H_out,d_model,dropout,n_heads,num_temporal_layers,num_gat_layers,gat_heads,lr,weight_decay,lambda_q,lambda_flash,lambda_peak,lambda_acc,lambda_phys,batch_size,epochs,quantiles,mean_brier,composite_obj
4,0.1354140129535806,10,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_04/best_model.pt,0.113986684545819,0.1524684389950945,0.1430167524586925,7,24,8,64,0.2,8,2,2,2,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,16,10,"(0.1, 0.5, 0.9)",0.136490625333202,0.05589926324180735
12,0.1349155340738795,5,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_12/best_model.pt,0.1353770756318321,0.1494430615501699,0.1387793985528957,7,24,8,64,0.2,8,2,2,2,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,16,10,"(0.1, 0.5, 0.9)",0.1411998452449659,0.12023364862631436
1,0.1352629463455253,10,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_01/best_model.pt,0.1360974143243434,0.1541679525089778,0.1342370865542722,7,24,8,64,0.2,8,2,2,2,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,16,10,"(0.1, 0.5, 0.9)",0.14150081779586446,0.16687664391712093
7,0.1354745961084819,10,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_07/best_model.pt,0.1295187781828641,0.1541126822637195,0.1493570844200189,7,24,8,64,0.2,8,2,2,2,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,16,10,"(0.1, 0.5, 0.9)",0.14432951495553417,0.2628319830467492
10,0.1350816443815214,6,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_10/best_model.pt,0.1471652877994271,0.1557602742268468,0.149513659140952,7,24,8,64,0.2,8,2,2,2,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,16,10,"[0.1, 0.5, 0.9]",0.15081307372240862,0.38430175782626924
3,0.1385183262530039,8,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_03/best_model.pt,0.1244718800324304,0.1494347355380677,0.1380264791169191,5,16,8,64,0.1,2,1,2,1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.1373110315624724,0.42496220720424327
9,0.1372656438094872,4,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_09/best_model.pt,0.1354822635632316,0.1511714522193648,0.1448158389251001,5,16,8,64,0.1,2,1,2,1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.1438231849025655,0.4507521160618357
11,0.1377950590367523,10,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_11/best_model.pt,0.1297793030632121,0.1535590943515724,0.1414896708541894,5,16,8,64,0.1,2,1,2,1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.14160935608965797,0.45359810692448166
13,0.138273419442962,5,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_13/best_model.pt,0.1235747023393697,0.1522292652039314,0.1433372887785904,3,32,8,64,0.3,2,1,2,2,0.002,0.0001,1.0,2.0,2.0,2.0,0.1,8,10,"[0.1, 0.5, 0.9]",0.13971375210729717,0.45884359717653533
2,0.1381954204136291,7,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_02/best_model.pt,0.1292704525767435,0.1571514036078696,0.1416383152557563,3,32,8,64,0.3,2,1,2,2,0.002,0.0001,1.0,2.0,2.0,2.0,0.1,8,10,"[0.1, 0.5, 0.9]",0.14268672381345648,0.5260013644624371
6,0.1384195759243458,6,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_06/best_model.pt,0.1252087073741877,0.1597233730101466,0.1554236559422287,5,16,8,64,0.1,2,1,2,1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.14678524544218766,0.6557796716560214
5,0.1389854396155013,7,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_05/best_model.pt,0.1436353601559612,0.1540852251029249,0.1454502451556578,3,32,8,64,0.3,2,1,2,2,0.002,0.0001,1.0,2.0,2.0,2.0,0.1,8,10,"[0.1, 0.5, 0.9]",0.1477236101381813,0.74319334442891
14,0.138116254510994,8,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_14/best_model.pt,0.1435153088369397,0.1664526171210789,0.1489892597162742,5,16,8,64,0.1,2,1,2,1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.15298572855809758,0.7800732033032696
0,0.1386996116870462,6,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_00/best_model.pt,0.1382051020608228,0.1700699678576963,0.1599476628336712,5,16,8,64,0.1,2,1,2,1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.1560742442507301,0.9243452616085555
8,0.1393742590255216,10,/content/drive/MyDrive/Rainfall/BanglaRainENS/Tuning_Results/v1/trial_08/best_model.pt,0.1399516113527825,0.1616039767333538,0.1624352898961931,3,32,8,64,0.3,2,1,2,2,0.002,0.0001,1.0,2.0,2.0,2.0,0.1,8,10,"[0.1, 0.5, 0.9]",0.1546636259941098,0.9639847398001111
