epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,4.772165671593544,0.1449753119628909,0.8102990239972203,0.12522739039075487,0.16163387627094802,0.1506920322941141
2,4.607216159068534,0.14431554012694997,215947.6153350449,0.12732745216392086,0.1539011841457063,0.14482101709021244
3,4.559937649364492,0.1424330238647149,2.8443319673818235e+19,0.14190169198134855,0.17310010181116184,0.1741271784604694
4,4.537988599999334,0.14193525180571068,inf,0.1365150707669871,0.16107577360043113,0.15905745977410013
5,4.517136482082438,0.13979142006524783,inf,0.13123701873792312,0.1627612235133788,0.14807653019074488
6,4.502478332729803,0.14311071891558294,inf,0.12344918431185177,0.15983092254933096,0.15340096944079504
7,4.488814307841189,0.14190928371686437,inf,0.14118711283247998,0.15923985150284492,0.15572190281423406
8,4.4771283613465815,0.14030207341856515,inf,0.12287759383875994,0.16058739485256593,0.1507138418450479
9,4.471958469581435,0.13991921588750914,inf,0.1220422435645851,0.15727390371843278,0.13482886186958834
10,4.460097945310895,0.14198322775076022,inf,0.13781806570547167,0.1591921439941834,0.14018404221028036
11,4.454941909367297,0.1415405876797426,inf,0.13684091226156736,0.15928001458768884,0.16035836009638932
12,4.4440100248038705,0.13995485799508786,inf,0.15224684942538325,0.17735999374091163,0.18054023566664437
13,4.437534078777925,0.1437128126379492,inf,0.13367878118651294,0.16107034617142024,0.15594671795639298
14,4.442577277558731,0.13982848123016925,inf,0.1326762226038,0.15409634918452822,0.15083443492065435
15,4.427450539550473,0.14137031919832377,inf,0.13348993521642896,0.15550265280837713,0.1349525865606739
