trial,best_val_CRPS_log,best_epoch,ckpt_path,val_Brier_flash,val_Brier_peak,val_Brier_acc,k_nn,T_in,H_out,d_model,num_gat_layers,gat_heads,dropout,lr,weight_decay,lambda_q,lambda_flash,lambda_peak,lambda_acc,lambda_phys,batch_size,epochs,quantiles,mean_brier,composite_obj
13,0.1399824311737724,9,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_13/best_model.pt,0.1274840864887327,0.1532017543826511,0.1441466976116288,5,16,8,64,2,4,0.3,0.001,1e-05,1.0,2.0,2.0,2.0,0.25,8,10,"(0.1, 0.5, 0.9)",0.1416108461610042,0.1426113060310552
2,0.1386802637412534,9,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_02/best_model.pt,0.1293280598613869,0.1564525205110029,0.1502161542425086,4,16,8,64,2,2,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.25,32,10,"(0.1, 0.5, 0.9)",0.1453322448716328,0.1790110001595448
1,0.1371502679566256,10,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_01/best_model.pt,0.1405781936158615,0.1573493637553923,0.1484992403261512,5,32,8,64,3,2,0.1,0.001,0.0001,1.0,2.0,2.0,2.0,0.1,16,10,"(0.1, 0.5, 0.9)",0.14880893256580166,0.19964230939271743
3,0.1418960800704856,6,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_03/best_model.pt,0.1151412883877616,0.1558662646212426,0.1511825778817213,4,32,8,96,2,4,0.2,0.002,0.0001,1.0,2.0,2.0,2.0,0.25,8,10,"(0.1, 0.5, 0.9)",0.14073004363024183,0.20249853729406864
6,0.1382397647244524,6,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_06/best_model.pt,0.1360796864743363,0.1606397938356762,0.148378260247103,5,24,8,64,2,2,0.2,0.001,0.0001,1.0,2.0,2.0,2.0,0.1,16,10,"(0.1, 0.5, 0.9)",0.1483659135190385,0.23518221611398882
12,0.1396774894583898,6,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_12/best_model.pt,0.1310248756708928,0.1597077566555377,0.151411466764138,7,32,8,96,3,4,0.1,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,16,10,"(0.1, 0.5, 0.9)",0.14738136636352284,0.27219859525029055
7,0.1381148804037568,8,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_07/best_model.pt,0.1379037063768546,0.1586361132841575,0.1541184340307659,7,32,8,96,2,2,0.2,0.001,0.0001,1.0,2.0,2.0,2.0,0.1,32,10,"(0.1, 0.5, 0.9)",0.15021941789725932,0.2756566081253631
10,0.1419880362556691,8,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_10/best_model.pt,0.1326829492345497,0.1583783150490517,0.1537740291179465,3,32,8,128,3,1,0.3,0.002,1e-05,1.0,2.0,2.0,2.0,0.25,8,10,"(0.1, 0.5, 0.9)",0.1482784311338493,0.39295497342768854
0,0.139308796611449,10,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_00/best_model.pt,0.1403206349450802,0.1651341566743409,0.1568580425165159,6,16,8,128,3,1,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.25,32,10,"(0.1, 0.5, 0.9)",0.15410427804531235,0.42260081612797495
14,0.137243170555655,7,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_14/best_model.pt,0.142718067531493,0.1663454100783982,0.1655480996565406,4,24,8,64,3,4,0.3,0.0005,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"(0.1, 0.5, 0.9)",0.1582038590888106,0.43577007017466657
5,0.1438160665075878,9,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_05/best_model.pt,0.1456445219328139,0.1637567924648431,0.1383277434880611,4,24,8,64,2,1,0.2,0.002,0.0001,1.0,2.0,2.0,2.0,0.25,8,10,"(0.1, 0.5, 0.9)",0.14924301929523937,0.49479151732408533
4,0.1417644319403592,2,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_04/best_model.pt,0.1369642618244581,0.163208680319524,0.1597805289353369,5,16,8,128,3,1,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"(0.1, 0.5, 0.9)",0.15331782369310634,0.5079455019925238
9,0.1408500475285717,10,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_09/best_model.pt,0.1427702052381884,0.1651508963125616,0.1572958144997681,6,16,8,64,1,4,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.25,8,10,"(0.1, 0.5, 0.9)",0.15507230535017272,0.5122857907516762
8,0.1488684072006714,7,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_08/best_model.pt,0.1229828940029952,0.1573156242444979,0.1464727158384344,6,16,8,96,1,1,0.2,0.002,1e-05,1.0,2.0,2.0,2.0,0.1,8,10,"(0.1, 0.5, 0.9)",0.1422570780286425,0.5377354702986745
11,0.1406817346817784,10,/content/drive/MyDrive/Rainfall/Baselines/GraphOnly/Tuning_v1/trial_11/best_model.pt,0.1403701960741486,0.1731072486686682,0.1694129126660401,4,32,8,96,1,4,0.1,0.001,1e-05,1.0,2.0,2.0,2.0,0.25,32,10,"(0.1, 0.5, 0.9)",0.16096345246961896,0.6506837668816178
