trial,best_epoch,best_val_CRPS_log,best_val_mean_brier,ckpt_path,T_in,H_out,hidden,num_layers,dropout,lr,weight_decay,batch_size,epochs,quantiles,risk_heads,lambda_q,lambda_flash,lambda_peak,lambda_acc,lambda_phys
0,9,0.1494544394503311,0.2023577234059946,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_00/best_model.pt,32,8,64,3,0.2,0.0005,1e-06,32,10,"[0.1, 0.5, 0.9]",True,1.0,2.0,2.0,2.0,0.1
1,6,0.1492615966653639,0.1929423722337088,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_01/best_model.pt,32,8,64,3,0.2,0.0005,1e-06,32,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.1
2,4,0.1507532731201223,0.1965103257159434,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_02/best_model.pt,32,8,128,1,0.2,0.002,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
3,10,0.148796307943187,0.1860798099293426,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_03/best_model.pt,24,8,64,3,0.2,0.002,1e-06,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
4,10,0.1483083541623887,0.1890556747236886,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_04/best_model.pt,24,8,64,2,0.3,0.001,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.0
5,10,0.1474086639470541,0.181636102592341,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_05/best_model.pt,16,8,128,2,0.1,0.0005,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
6,5,0.1509005952143739,0.1774661324311836,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_06/best_model.pt,32,8,64,2,0.3,0.002,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
7,4,0.14998390924172522,0.1798943699883746,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_07/best_model.pt,24,8,64,3,0.3,0.0005,0.0001,8,10,"[0.1, 0.5, 0.9]",True,1.0,2.0,2.0,2.0,0.25
8,8,0.15116510880512898,0.18164478679265003,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_08/best_model.pt,32,8,128,1,0.2,0.002,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
9,8,0.1492605609648929,0.19018678422100702,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_09/best_model.pt,24,8,64,3,0.2,0.002,1e-06,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
10,6,0.1481831370534875,0.1829591582414475,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_10/best_model.pt,24,8,64,2,0.3,0.001,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.0
11,9,0.1480277196911021,0.1697040556284453,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_11/best_model.pt,16,8,128,2,0.1,0.0005,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
12,10,0.15020483393664188,0.18613463939778596,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_12/best_model.pt,32,8,64,2,0.3,0.002,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
13,5,0.14955785205959624,0.19640236506553377,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_13/best_model.pt,24,8,64,3,0.3,0.0005,0.0001,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25
14,7,0.1497227710063844,0.18182346570324323,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_14/best_model.pt,32,8,64,1,0.2,0.001,1e-06,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.1
