epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,4.977985880871873,0.14677448983982413,0.7216516128720518,0.19113790920706847,0.1762539009242836,0.1899377781868068
2,4.845164011518235,0.14670272809469534,0.7209866626607173,0.12744843414029927,0.16387454807729784,0.14795057622109872
3,4.802744221535139,0.14273129517775524,0.7169155544280529,0.12955555383203363,0.16265308321355393,0.15231834164722988
4,4.779918365691453,0.14420988791474573,0.7160121865119486,0.15593114842719355,0.17250261623022461,0.15978145299270902
5,4.762921627081911,0.14294314087540536,0.7205748203484738,0.13052158686674853,0.15552188844660553,0.13213332775823491
6,4.747083189692786,0.14291704998745905,0.7169897224488814,0.1407915632657362,0.16542623099284443,0.16220532515798985
7,4.736237227028091,0.14197825508570228,0.7151624160682465,0.13401251002540965,0.1613656456574402,0.1584927761919944
8,4.732512766629335,0.14436822259418977,0.7149506806712743,0.13766277766080035,0.16407537154384538,0.14990624356173213
9,4.7200443100377205,0.14192307591381506,0.7161415283977279,0.12160480460185709,0.15032777350257953,0.12747887437359118
10,4.708027174740064,0.14365185826987625,0.7162000409725774,0.15138116168058655,0.1775020849054969,0.19657133164042365
11,4.705686408636222,0.14187043940304464,0.7164189439451075,0.12946358444392905,0.16171111732888954,0.1484921530127128
12,4.697060395647264,0.14221122724860777,0.7167016479751754,0.13752393610242786,0.16551180623244408,0.16624662911286692
13,4.6942240611257455,0.1418433508962289,0.7156943834400151,0.16131313675761685,0.1787541310939572,0.18986284451340452
14,4.684209210847436,0.14165762338896026,0.7159406457535228,0.14258329254921634,0.16400956294082378,0.15474638794666146
15,4.681686896301787,0.14160091205433542,0.7162557882360241,0.1493082459605004,0.16866841328101462,0.17104166972725168
16,4.668843949644747,0.1419405731918511,0.7142726253208669,0.13256754059595618,0.16608239603106292,0.16447767581128642
17,4.668759958380489,0.14132769567890333,0.715027642666114,0.14707929945378245,0.1728932648161168,0.169577054637783
18,4.663682746996342,0.1442948013295838,0.7210837276826876,0.13088013359152467,0.1556029037606174,0.13798645067319631
19,4.660703939324966,0.14214520237793113,0.7160892890738275,0.1494540146877672,0.16669028263364763,0.15962499323286902
20,4.655735479489363,0.14335105797634476,0.7183115202219644,0.14341872890941115,0.15990606168658977,0.1384245229898957
21,4.653642639411565,0.1424296133062812,0.7182734627156999,0.11545081209482434,0.15136579191456698,0.13266890069718684
22,4.652910448283102,0.14169989910199005,0.714935699698555,0.1431032761001993,0.16622203204745503,0.1596801745692429
23,4.642300787038526,0.14247935765158412,0.7163414782146803,0.13472226646695243,0.1672549283187639,0.1627921850403926
24,4.6449265450105885,0.14218966851703732,0.7173522556215226,0.14557215866968223,0.17040541401012116,0.17933035859896038
25,4.6412341004675595,0.14214121672496824,0.7147949411378012,0.15788917854219606,0.17034418784297592,0.16809347404188613
26,4.6345033960398165,0.14142671001682428,0.7146080426396381,0.1432119504318384,0.1609299292930239,0.15502409861584013
27,4.630239531015988,0.14142903355834519,0.7148762382704843,0.12599333054733303,0.16338474349219503,0.1703213963843179
