trial,best_val_CRPS_log,best_epoch,ckpt_path,val_Brier_flash,val_Brier_peak,val_Brier_acc,T_in,H_out,d_model,n_heads,num_temporal_layers,dropout,lr,weight_decay,lambda_q,lambda_flash,lambda_peak,lambda_acc,lambda_phys,batch_size,epochs,quantiles
0,0.1418057580118291,10,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_00/best_model.pt,0.1599305028318185,0.1721520343460864,0.1728244984061344,16,8,96,2,1,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,8,10,"(0.1, 0.5, 0.9)"
1,0.144398994437169,8,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_01/best_model.pt,0.1570393423320169,0.1727149294751815,0.1869070807964792,16,8,96,8,2,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"[0.1, 0.5, 0.9]"
2,0.1422819178070765,9,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_02/best_model.pt,0.1277259767387505,0.1580397254602292,0.1516458330942905,16,8,96,2,1,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,8,10,"(0.1, 0.5, 0.9)"
3,0.145951210336195,8,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_03/best_model.pt,0.1314181184773775,0.1579960898082672,0.1526338872586978,16,8,96,8,2,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"[0.1, 0.5, 0.9]"
4,0.1425065272000946,8,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_04/best_model.pt,0.1416135450555709,0.1573735136412657,0.1437552808369443,16,8,96,2,1,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,8,10,"(0.1, 0.5, 0.9)"
5,0.1424405226420663,9,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_05/best_model.pt,0.1555883598714928,0.1675441655386666,0.1732273708916663,16,8,96,8,2,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"[0.1, 0.5, 0.9]"
6,0.1416251225488662,10,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_06/best_model.pt,0.136285429154116,0.1640806529942572,0.14587997376636,16,8,96,2,1,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,8,10,"(0.1, 0.5, 0.9)"
7,0.1422497023039786,10,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_07/best_model.pt,0.1324594340587523,0.160703524892508,0.1562628772718691,16,8,96,8,2,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"[0.1, 0.5, 0.9]"
8,0.1428373618134969,9,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_08/best_model.pt,0.1387029454708843,0.1688629852034344,0.1718260184544543,16,8,96,2,1,0.1,0.0005,1e-05,1.0,2.0,2.0,2.0,0.1,8,10,"(0.1, 0.5, 0.9)"
9,0.14410098663365747,9,/content/drive/MyDrive/Rainfall/Baselines/TemporalOnly/Tuning_v1/trial_09/best_model.pt,0.14075089143358493,0.16010294427144225,0.15222766876114904,16,8,96,8,2,0.1,0.002,0.0001,1.0,2.0,2.0,2.0,0.0,16,10,"[0.1, 0.5, 0.9]"
